"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR","Pop4","Tmax_hab","WT"
"62","Green",2017,"NvaLib","NvaLib17",688,34.5,9.6,24.9,"NvaLib",27.4133282442748,7.08667175572519
"63","Green",2017,"NvaLib","NvaLib17",723,33.8,9.2,24.6,"NvaLib",27.4133282442748,6.38667175572519
"64","Green",2017,"NvaLib","NvaLib17",727,33.3,9.6,23.7,"NvaLib",27.4133282442748,5.88667175572519
"65","Green",2017,"NvaLib","NvaLib17",747,33.8,9.2,24.6,"NvaLib",27.4133282442748,6.38667175572519
"66","Green",2017,"GnalNB","GNBII17",251,34.8,8.6,26.2,"GnalNB",32.1298610354223,2.67013896457765
"67","Green",2017,"GnalNB","GNBII17",264,35.6,7.9,27.7,"GnalNB",32.1298610354223,3.47013896457766
"68","Green",2017,"GnalNB","GNBII17",242,34.6,7.3,27.3,"GnalNB",32.1298610354223,2.47013896457766
"69","Green",2017,"GnalNB","GNBII17",250,35.4,8.1,27.3,"GnalNB",32.1298610354223,3.27013896457765
"70","Green",2017,"GnalNB","GNBII17",242,36,8.2,27.8,"GnalNB",32.1298610354223,3.87013896457766
"71","Green",2017,"GnalNB","GNBII17",263,34.5,7.9,26.6,"GnalNB",32.1298610354223,2.37013896457766
"72","Green",2017,"GnalNB","GNBII17",247,34.6,7.8,26.8,"GnalNB",32.1298610354223,2.47013896457766
"73","Green",2017,"GnalNB","GNBII17",230,34.7,7.5,27.2,"GnalNB",32.1298610354223,2.57013896457766
"74","Green",2017,"GnalNB","GNBII17",247,34.8,8.2,26.6,"GnalNB",32.1298610354223,2.67013896457765
"75","Green",2017,"GnalNB","GNBII17",247,35.3,8.3,27,"GnalNB",32.1298610354223,3.17013896457765
"76","Green",2017,"SatMor","SatMor17",314,35.2,6.9,28.3,"SatMor",31.8127571428571,3.38724285714286
"77","Green",2017,"SatMor","SatMor17",314,33.5,8.2,25.3,"SatMor",31.8127571428571,1.68724285714286
"78","Green",2017,"SatMor","SatMor17",315,34.2,7.5,26.7,"SatMor",31.8127571428571,2.38724285714286
