"","Domain","Elevation","Year","Pop","CTmax","CTmin","TTR","Weight","SVL","WT","Cool_T","Tmax_hab","Tmin_hab"
"54","Yellow",1150,2017,"CINvaLib",32.2,12.3,19.9,4.18,36.8,7.03838352272728,5.31477840909091,25.1616164772727,17.6147784090909
"55","Yellow",1168,2017,"CINvaLib",34.1,9,25.1,4.35,34.3,8.93838352272727,8.61477840909091,25.1616164772727,17.6147784090909
"56","Yellow",1207,2017,"CINvaLib",31.8,11.6,20.2,NA,NA,6.63838352272727,6.01477840909091,25.1616164772727,17.6147784090909
"57","Green",713,2017,"NvaLib",34.8,9.7,25.1,2.35,28.4,7.38667175572519,10.8258549618321,27.4133282442748,20.5258549618321
"58","Green",718,2017,"NvaLib",34.4,7.6,26.8,2.78,31,6.98667175572519,12.9258549618321,27.4133282442748,20.5258549618321
"59","Green",688,2017,"NvaLib",34.5,9.6,24.9,2.16,28.3,7.08667175572519,10.9258549618321,27.4133282442748,20.5258549618321
"60","Green",727,2017,"NvaLib",33.3,9.6,23.7,1.12,22.2,5.88667175572519,10.9258549618321,27.4133282442748,20.5258549618321
"61","Green",723,2017,"NvaLib",33.8,9.2,24.6,0.98,18.7,6.38667175572519,11.3258549618321,27.4133282442748,20.5258549618321
"62","Green",747,2017,"NvaLib",33.8,9.2,24.6,0.93,19.6,6.38667175572519,11.3258549618321,27.4133282442748,20.5258549618321
"63","Green",721,2017,"NvaLib",34.3,7.3,27,1.39,20,6.88667175572519,13.2258549618321,27.4133282442748,20.5258549618321
"64","Green",721,2017,"NvaLib",33.7,9.6,24.1,1.38,21.7,6.28667175572519,10.9258549618321,27.4133282442748,20.5258549618321
"65","Green",721,2017,"NvaLib",33.9,9.8,24.1,1.46,23.8,6.48667175572519,10.7258549618321,27.4133282442748,20.5258549618321
"66","Green",251,2017,"GNBII",34.8,8.6,26.2,1.55,26.9,2.67013896457765,13.6426852861035,32.1298610354223,22.2426852861035
"67","Green",264,2017,"GNBII",35.6,7.9,27.7,1.22,25.4,3.47013896457766,14.3426852861035,32.1298610354223,22.2426852861035
"68","Green",242,2017,"GNBII",34.6,7.3,27.3,1.88,27.7,2.47013896457766,14.9426852861035,32.1298610354223,22.2426852861035
"69","Green",250,2017,"GNBII",35.4,8.1,27.3,1.24,23.9,3.27013896457765,14.1426852861035,32.1298610354223,22.2426852861035
"70","Green",242,2017,"GNBII",36,8.2,27.8,2,28.4,3.87013896457766,14.0426852861035,32.1298610354223,22.2426852861035
"71","Green",263,2017,"GNBII",34.5,7.9,26.6,1.36,24.7,2.37013896457766,14.3426852861035,32.1298610354223,22.2426852861035
"72","Green",247,2017,"GNBII",34.6,7.8,26.8,1.43,26.2,2.47013896457766,14.4426852861035,32.1298610354223,22.2426852861035
"73","Green",230,2017,"GNBII",34.7,7.5,27.2,2.45,28.2,2.57013896457766,14.7426852861035,32.1298610354223,22.2426852861035
"74","Green",247,2017,"GNBII",34.8,8.2,26.6,0.67,19.5,2.67013896457765,14.0426852861035,32.1298610354223,22.2426852861035
"75","Green",247,2017,"GNBII",35.3,8.3,27,1.59,26.1,3.17013896457765,13.9426852861035,32.1298610354223,22.2426852861035
"76","Green",123,2017,"GNBII_II",36.5,8.8,27.7,2.93,32.2,4.37013896457766,13.4426852861035,32.1298610354223,22.2426852861035
"77","Green",122,2017,"GNBII_II",35.6,9.2,26.4,0.53,18.2,3.47013896457766,13.0426852861035,32.1298610354223,22.2426852861035
"78","Green",125,2017,"GNBII_II",36.4,7.9,28.5,2.18,27.2,4.27013896457765,14.3426852861035,32.1298610354223,22.2426852861035
"79","Green",125,2017,"GNBII_II",35.4,9.3,26.1,2.19,27.4,3.27013896457765,12.9426852861035,32.1298610354223,22.2426852861035
"80","Green",125,2017,"GNBII_II",36.2,8.5,27.7,2.38,29.4,4.07013896457766,13.7426852861035,32.1298610354223,22.2426852861035
"81","Green",314,2017,"SatMor",35.2,6.9,28.3,0.47,23.4,3.38724285714286,14.6290053571429,31.8127571428571,21.5290053571429
"82","Green",315,2017,"SatMor",34.2,7.5,26.7,0.51,23.9,2.38724285714286,14.0290053571429,31.8127571428571,21.5290053571429
"83","Green",314,2017,"SatMor",33.5,8.2,25.3,0.48,22.1,1.68724285714286,13.3290053571429,31.8127571428571,21.5290053571429
"84","Green",317,2017,"SatMor",34.6,5.8,28.8,0.68,24.3,2.78724285714286,15.7290053571429,31.8127571428571,21.5290053571429
"85","Orange",921,2017,"PlanLib",30.6,15,15.6,1.04,23.3,5.47923720930233,2.09603255813953,25.1207627906977,17.0960325581395
"86","Orange",928,2017,"PlanLib",31.6,10.3,21.3,1.23,23.7,6.47923720930233,6.79603255813953,25.1207627906977,17.0960325581395
"87","Orange",868,2017,"PlanLib",33.8,8.7,25.1,0.98,21.4,8.67923720930232,8.39603255813953,25.1207627906977,17.0960325581395
"88","Orange",794,2017,"PlanLib",27.8,11.3,16.5,1.26,24,2.67923720930233,5.79603255813953,25.1207627906977,17.0960325581395
"89","Orange",922,2017,"PlanLib",30.6,13.7,16.9,1.46,24.8,5.47923720930233,3.39603255813953,25.1207627906977,17.0960325581395
"90","Orange",868,2017,"PlanLib",29.7,10.4,19.3,1.17,24.8,4.57923720930232,6.69603255813953,25.1207627906977,17.0960325581395
"91","Orange",927,2017,"PlanLib",33.2,11.8,21.4,1.23,23.7,8.07923720930233,5.29603255813953,25.1207627906977,17.0960325581395
"92","Orange",916,2017,"PlanLib",30.8,13.2,17.6,1.33,24.4,5.67923720930233,3.89603255813953,25.1207627906977,17.0960325581395
"93","Orange",909,2017,"PlanLib",30.2,13.8,16.4,1.25,23.7,5.07923720930232,3.29603255813953,25.1207627906977,17.0960325581395
"94","Orange",922,2017,"PlanLib",31.3,12.9,18.4,1.8,27.3,6.17923720930233,4.19603255813953,25.1207627906977,17.0960325581395
"95","Orange",924,2017,"PlanLib",30.3,11.4,18.9,4.09,NA,5.17923720930233,5.69603255813953,25.1207627906977,17.0960325581395
"96","Orange",700,2018,"Palestina",34.6,10.8,23.8,1.18,23.78,2.88613429752066,7.88456611570248,31.7138657024793,18.6845661157025
"97","Orange",751,2018,"Palestina",32,7.9,24.1,1.01,23.3,0.286134297520661,10.7845661157025,31.7138657024793,18.6845661157025
"98","Orange",746,2018,"Palestina",36,6.9,29.1,1.21,23.09,4.28613429752066,11.7845661157025,31.7138657024793,18.6845661157025
"99","Orange",736,2018,"Palestina",NA,7.2,NA,1.56,24.76,NA,11.4845661157025,31.7138657024793,18.6845661157025
