"","Domain","Year","Pop","Pop2","Elevation","CTmax","CTmin","TTR"
"94","Green",2017,"GnalNB_II","GNBII17_II",120,35.4,9.3,26.1
"95","Green",2017,"GnalNB_II","GNBII17_II",120,36.2,8.5,27.7
"96","Orange",2018,"Palestina","Pales18",700,34.6,10.8,23.8
"97","Orange",2018,"Palestina","Pales18",722,35.6,7.3,28.3
"98","Orange",2018,"Palestina","Pales18",736,NA,7.2,NA
"99","Orange",2018,"Palestina","Pales18",733,35.2,7.7,27.5
"100","Orange",2018,"Palestina","Pales18",746,36,6.9,29.1
"101","Orange",2018,"Palestina","Pales18",728,35.1,6.6,28.5
"102","Orange",2018,"Palestina","Pales18",750,NA,7.2,NA
"103","Orange",2018,"Palestina","Pales18",751,32,7.9,24.1
"104","Orange",2018,"Palestina","Pales18",752,35.5,7.8,27.7
"105","Red",2018,"LagLon","LagLon18",1433,34.1,10.1,24
"106","Red",2018,"LagLon","LagLon18",1456,34.2,9.9,24.3
"107","Red",2018,"LagLon","LagLon18",1457,33.5,10.8,22.7
"108","Red",2018,"LagLon","LagLon18",1454,33.6,8.4,25.2
"109","Red",2018,"LagLon","LagLon18",1468,35.4,9.3,26.1
"110","Red",2018,"LagLon","LagLon18",1479,32.6,10.8,21.8
"111","Red",2018,"LagLon","LagLon18",1490,33.8,8.1,25.7
"112","Red",2018,"LagLon","LagLon18",1492,34.7,9.8,24.9
"113","Red",2018,"LagLon","LagLon18",1514,32.9,9.5,23.4
"114","Red",2018,"LagLon","LagLon18",1523,32.9,8.9,24
"115","Red",2018,"LagLon","LagLon18",1524,32.3,8.5,23.8
"116","Red",2018,"LagLon","LagLon18",1518,32,8.6,23.4
"117","Red",2018,"Palmas","Palm18",1352,34.3,10.1,24.2
"118","Red",2018,"Palmas","Palm18",1360,32.4,9.9,22.5
"119","Red",2018,"Palmas","Palm18",1367,33.5,10.1,23.4
"120","Red",2018,"Palmas","Palm18",1358,34.7,8.9,25.8
"121","Red",2018,"Palmas","Palm18",1363,32.4,10.4,22
"122","Red",2018,"Palmas","Palm18",1393,32.8,9.9,22.9
"123","Red",2018,"Palmas","Palm18",1392,31.7,10.4,21.3
"124","Red",2018,"Palmas","Palm18",1390,33.5,9.2,24.3
"125","Red",2018,"Palmas","Palm18",1389,34.3,9.1,25.2
"126","Red",2018,"Palmas","Palm18",1402,32.8,8.4,24.4
"127","Red",2018,"Palmas","Palm18",1403,33.5,7.8,25.7
"128","Orange",2018,"SalUrb","SalUrb18",854,31.9,8.6,23.3
"129","Orange",2018,"SalUrb","SalUrb18",884,33.7,9.5,24.2
"130","Orange",2018,"SalUrb","SalUrb18",883,33.5,8.6,24.9
"131","Orange",2018,"SalUrb","SalUrb18",874,34.6,8.5,26.1
"132","Orange",2018,"SalUrb","SalUrb18",786,35.8,7.8,28
"133","Orange",2018,"SalUrb","SalUrb18",804,33.8,9.8,24
"134","Orange",2018,"SalUrb","SalUrb18",810,32.6,7.9,24.7
"135","Orange",2018,"SalUrb","SalUrb18",815,NA,7,NA
"136","Orange",2018,"SalUrb","SalUrb18",812,32.9,NA,NA
