"","Domain","Elevation","Year","Pop","Pop2","Indv","Weight","SVL","n","Temperature"
"63","Yellow",1030,2017,"CINLib","CINLib17","CINvLib6",1.71,26.1,"Temp1",24.2
"64","Yellow",1150,2017,"CINLib","CINLib17","CINvLib7",2.17,27.5,"Temp1",24.2
"65","Yellow",1151,2017,"CINLib","CINLib17","CINvLib8",3.17,33.7,"Temp1",25.4
"66","Yellow",1227,2017,"CINLib","CINLib17","CINvLib9",3.72,35.3,"Temp1",23.6
"67","Yellow",1150,2017,"CINLib","CINLib17","CINvLib10",3.79,34.3,"Temp1",24.3
"68","Yellow",1150,2017,"CINLib","CINLib17","CINvLib11",4.1,37.8,"Temp1",24.8
"69","Yellow",1168,2017,"CINLib","CINLib17","CINvLib12",4.34,39.2,"Temp1",25.5
"70","Yellow",1162,2017,"NBI","NBI17","NBravo_1",1.16,23.5,"Temp1",17
"71","Yellow",1142,2017,"NBI","NBI17","NBravo_2",1.86,25.6,"Temp1",17.2
"72","Yellow",1181,2017,"NBI","NBI17","NBravo_3",0.97,21.5,"Temp1",18.9
"73","Yellow",1184,2017,"NBI","NBI17","NBravo_4",0.82,20.8,"Temp1",19.6
"74","Yellow",1186,2017,"NBI","NBI17","NBravo_5",0.26,14.4,"Temp1",16.8
"75","Yellow",1169,2017,"NBI","NBI17","NBravo_6",0.18,11.9,"Temp1",NA
"76","Yellow",1181,2017,"NBI","NBI17","NBravo_7",0.82,21.7,"Temp1",19.6
"77","Yellow",1162,2017,"NBI","NBI17","NBravo_8",0.36,16.6,"Temp1",21.6
"78","Yellow",1136,2017,"NBI","NBI17","NBravo_9",0.3,13.4,"Temp1",17.9
"79","Yellow",1116,2017,"NBI","NBI17","NBravo_10",0.33,15.4,"Temp1",19.3
"80","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_1",1.53,26.28,"Temp1",22.1
"81","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_2",1.35,24.34,"Temp1",22.5
"82","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_3",1.24,23.4,"Temp1",23
"83","Yellow",1304,2017,"LaLoma","LaLoma17","LaLom_4",1.25,23.78,"Temp1",23.9
"84","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_5",1.39,25.48,"Temp1",22.5
"85","Yellow",1309,2017,"LaLoma","LaLoma17","LaLom_6",1.54,27.16,"Temp1",NA
"86","Yellow",1300,2017,"LaLoma","LaLoma17","LaLom_7",1.35,25.37,"Temp1",24.5
"87","Yellow",1310,2017,"LaLoma","LaLoma17","LaLom_8",1.63,27,"Temp1",24.4
"88","Yellow",1305,2017,"LaLoma","LaLoma17","LaLom_9",1.6,26.94,"Temp1",22.2
"89","Yellow",1296,2017,"LaLoma","LaLoma17","LaLom_10",1.52,25.37,"Temp1",21.9
"90","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_1",0.42,16.9,"Temp1",24.6
"91","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_2",0.43,17,"Temp1",24.9
"92","Red",1509,2017,"RLFlor","RLFlor17","RLaFlor_3",0.46,17,"Temp1",22.7
"93","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_4",0.53,17.4,"Temp1",24.6
"94","Red",1508,2017,"RLFlor","RLFlor17","RLaFlor_5",0.62,19.5,"Temp1",23.3
"95","Red",1512,2017,"RLFlor","RLFlor17","RLaFlor_6",0.66,19.7,"Temp1",21.6
